11345.053488	LOG_VERSION	2
11345.053488	TAGS	
11345.053488	COMMENT	Yumiyama
11345.053488	TERMINAL_ID	91680c3c80ee804adb50d7a2513eefcb51e53cc5
11345.053488	TERMINAL_TYPE	iPod touch;iPhone OS;4.3.3
10934.019269	AUDIO	start
10934.521454	ACC	9502.291960,-0.221100,-0.516159,-0.661072
10934.522043	ACC	9502.302023,-0.225037,-0.520203,-0.658295
10934.538166	ACC	9502.312163,-0.221008,-0.506348,-0.664734
10934.541943	ACC	9502.322174,-0.213150,-0.505020,-0.674240
10934.543404	ACC	9502.332142,-0.201324,-0.495651,-0.694153
10934.544249	ACC	9502.342153,-0.187637,-0.493195,-0.703598
10934.544692	ACC	9502.352284,-0.167221,-0.495483,-0.711090
10934.553029	ACC	9502.362317,-0.168167,-0.492599,-0.711044
10934.554180	ACC	9502.372404,-0.162323,-0.501984,-0.724670
10934.554686	ACC	9502.382391,-0.171982,-0.500183,-0.730560
10934.555254	ACC	9502.392745,-0.166092,-0.504745,-0.740250
10934.555760	ACC	9502.402676,-0.171921,-0.515396,-0.754074
10934.556229	ACC	9502.412595,-0.175781,-0.517365,-0.759003
10934.556695	ACC	9502.422695,-0.193253,-0.527405,-0.766220
10934.557160	ACC	9502.432838,-0.197144,-0.545746,-0.784073
10934.557625	ACC	9502.442992,-0.185318,-0.521103,-0.783371
10934.558105	ACC	9502.452823,-0.210632,-0.531448,-0.784912
10934.558581	ACC	9502.463183,-0.212372,-0.518570,-0.799149
10934.559048	ACC	9502.473435,-0.189072,-0.510315,-0.792862
10934.559510	ACC	9502.483364,-0.192078,-0.497162,-0.767502
10934.559990	ACC	9502.493629,-0.195023,-0.509796,-0.773621
10934.560457	ACC	9502.503502,-0.211502,-0.481323,-0.751022
10934.560923	ACC	9502.513610,-0.184265,-0.479568,-0.757355
10934.561388	ACC	9502.523785,-0.201004,-0.481461,-0.726730
10934.561851	ACC	9502.533706,-0.168777,-0.465851,-0.737534
10934.568948	ACC	9502.543982,-0.222183,-0.482574,-0.750229
10934.569411	ACC	9502.553843,-0.209518,-0.477325,-0.753815
10934.569898	ACC	9502.563927,-0.209351,-0.471161,-0.773010
10934.570369	ACC	9502.574148,-0.238419,-0.466019,-0.773300
10934.570833	ACC	9502.584061,-0.221191,-0.479599,-0.751129
10934.571298	ACC	9502.594144,-0.220276,-0.495087,-0.758194
10934.571768	ACC	9502.604697,-0.230194,-0.508240,-0.742188
10934.572235	ACC	9502.614251,-0.231201,-0.507385,-0.736389
10934.572699	ACC	9502.624473,-0.226685,-0.511917,-0.690994
10934.575872	ACC	9502.634384,-0.213303,-0.514908,-0.665756
10934.576368	ACC	9502.644820,-0.239655,-0.537018,-0.665634
10934.576807	ACC	9502.655013,-0.243408,-0.540665,-0.686050
10934.577272	ACC	9502.664600,-0.266647,-0.541092,-0.696030
10934.577736	ACC	9502.675253,-0.283905,-0.540100,-0.723328
10934.578201	ACC	9502.685418,-0.298386,-0.538300,-0.735092
10934.584075	ACC	9502.695643,-0.278870,-0.518402,-0.731476
10934.584982	ACC	9502.705866,-0.266327,-0.504807,-0.707825
10934.585604	ACC	9502.716133,-0.259491,-0.494980,-0.702713
10934.586165	ACC	9502.726261,-0.277802,-0.485504,-0.713379
10934.592013	ACC	9502.736503,-0.231323,-0.495193,-0.706177
10934.592496	ACC	9502.746181,-0.202255,-0.544571,-0.743515
10934.593064	ACC	9502.756458,-0.231522,-0.555191,-0.734512
10934.594407	ACC	9502.766938,-0.230713,-0.530563,-0.689529
10934.594860	ACC	9502.777127,-0.217010,-0.526169,-0.698883
10934.606213	ACC	9502.787399,-0.224197,-0.461655,-0.720825
10934.606796	ACC	9502.797631,-0.255905,-0.422302,-0.730118
10934.607257	ACC	9502.808089,-0.287933,-0.415359,-0.726562
10934.607747	ACC	9502.818035,-0.229095,-0.414520,-0.808807
10934.608220	ACC	9502.829325,-0.250916,-0.426697,-0.752365
10934.608700	ACC	9502.838654,-0.237244,-0.435791,-0.772644
10934.609168	ACC	9502.848413,-0.219803,-0.461395,-0.791306
10934.609634	ACC	9502.860306,-0.189758,-0.446335,-0.772202
10934.610094	ACC	9502.870563,-0.210571,-0.470825,-0.735321
10934.610563	ACC	9502.882391,-0.227783,-0.495911,-0.656860
10934.611031	ACC	9502.890518,-0.262482,-0.512558,-0.705063
10934.611497	ACC	9502.900507,-0.284454,-0.492065,-0.739716
10934.618089	ACC	9502.910564,-0.287506,-0.494415,-0.720474
10934.618672	ACC	9502.920582,-0.286453,-0.478806,-0.719177
10934.619154	ACC	9502.930605,-0.307144,-0.434601,-0.771667
10934.621873	ACC	9502.940684,-0.277695,-0.404358,-0.788971
10934.622586	ACC	9502.952512,-0.243683,-0.439911,-0.827911
10934.623298	ACC	9502.961275,-0.228424,-0.472839,-0.819687
10934.623991	ACC	9502.970837,-0.225571,-0.430634,-0.772369
10934.624787	ACC	9502.982893,-0.199158,-0.393036,-0.765411
10934.625221	ACC	9502.990913,-0.190125,-0.377792,-0.791061
10934.625935	ACC	9503.001047,-0.192215,-0.384872,-0.777710
10934.637961	ACC	9503.011333,-0.177780,-0.400162,-0.774933
10934.651667	ACC	9503.022805,-0.197128,-0.419647,-0.804581
10934.656612	ACC	9503.032959,-0.203964,-0.407486,-0.784134
10934.673897	ACC	9503.046525,-0.187683,-0.417130,-0.764786
10934.686697	ACC	9503.063154,-0.206268,-0.433304,-0.758636
10934.703375	ACC	9503.074201,-0.217133,-0.463745,-0.762314
10934.706912	ACC	9503.083445,-0.225708,-0.457840,-0.778732
10934.723614	ACC	9503.094648,-0.238007,-0.424728,-0.794647
10934.727274	ACC	9503.103812,-0.256256,-0.397858,-0.795319
10934.739425	ACC	9503.115876,-0.254303,-0.382431,-0.782394
10934.753367	ACC	9503.126239,-0.240875,-0.404556,-0.780731
10934.761612	ACC	9503.138104,-0.245834,-0.430862,-0.790054
10934.770273	ACC	9503.146645,-0.203949,-0.414169,-0.792984
10934.791728	ACC	9503.156507,-0.215271,-0.398315,-0.825653
