8958.645211	LOG_VERSION	2
8958.645211	TAGS	
8958.645211	COMMENT	Uchino
8958.645211	TERMINAL_ID	91680c3c80ee804adb50d7a2513eefcb51e53cc5
8958.645211	TERMINAL_TYPE	iPod touch;iPhone OS;4.3.3
7694.118143	AUDIO	start
7694.601985	ACC	7265.453672,0.175888,-0.567978,-0.709717
7694.602547	ACC	7265.462054,0.174911,-0.566101,-0.707764
7694.604618	ACC	7265.472089,0.184631,-0.559097,-0.702621
7694.605111	ACC	7265.482975,0.191467,-0.557892,-0.708313
7694.606369	ACC	7265.493002,0.193451,-0.551010,-0.708145
7694.620032	ACC	7265.503265,0.184723,-0.552170,-0.709244
7694.621040	ACC	7265.513168,0.161362,-0.552872,-0.701874
7694.621478	ACC	7265.523375,0.156479,-0.554016,-0.698090
7694.621981	ACC	7265.533726,0.169083,-0.559525,-0.699966
7694.622445	ACC	7265.543804,0.196320,-0.555832,-0.707230
7694.622979	ACC	7265.554106,0.232346,-0.543228,-0.707428
7694.623459	ACC	7265.564289,0.255707,-0.534866,-0.706924
7694.624828	ACC	7265.574516,0.273117,-0.538376,-0.704819
7694.625287	ACC	7265.584578,0.195587,-0.530380,-0.714432
7694.625747	ACC	7265.594925,0.235519,-0.520493,-0.723343
7694.626196	ACC	7265.605131,0.288803,-0.546280,-0.734726
7694.626644	ACC	7265.615323,0.222672,-0.564514,-0.733124
7694.627090	ACC	7265.625544,0.099243,-0.555298,-0.706650
7694.627537	ACC	7265.635870,0.025116,-0.545486,-0.642761
7694.627985	ACC	7265.645928,-0.005280,-0.537292,-0.592758
7694.628448	ACC	7265.656140,-0.006805,-0.508545,-0.624069
7694.628895	ACC	7265.666349,0.062805,-0.464005,-0.681076
7694.629676	ACC	7265.676559,0.210846,-0.433380,-0.721863
7694.630216	ACC	7265.686692,0.271469,-0.413651,-0.764084
7694.630856	ACC	7265.696804,0.248428,-0.408798,-0.797150
7694.631799	ACC	7265.707014,0.212463,-0.421326,-0.802734
7694.632230	ACC	7265.717214,0.168289,-0.458054,-0.767426
7694.632685	ACC	7265.727337,0.154617,-0.479691,-0.776749
7694.633131	ACC	7265.737639,0.154251,-0.445694,-0.830154
7694.633577	ACC	7265.747885,0.172775,-0.442169,-0.839462
7694.634024	ACC	7265.758148,0.186981,-0.464706,-0.810760
7694.634470	ACC	7265.768243,0.171249,-0.476105,-0.791901
7694.634914	ACC	7265.778551,0.145874,-0.484756,-0.777954
7694.635357	ACC	7265.788628,0.132095,-0.491257,-0.758957
7694.635802	ACC	7265.799000,0.137909,-0.496872,-0.763840
7694.636247	ACC	7265.809132,0.146698,-0.503296,-0.776413
7694.636691	ACC	7265.820184,0.140152,-0.502869,-0.813202
7694.637138	ACC	7265.830324,0.137680,-0.474106,-0.847427
7694.637583	ACC	7265.840157,0.141708,-0.445847,-0.839981
7694.638030	ACC	7265.850198,0.158997,-0.434311,-0.803757
7694.638488	ACC	7265.860237,0.200684,-0.426727,-0.786591
7694.638933	ACC	7265.870270,0.220062,-0.428192,-0.787323
7694.639379	ACC	7265.880328,0.225006,-0.432709,-0.801834
7694.640017	ACC	7265.890383,0.228027,-0.443909,-0.828110
7694.640896	ACC	7265.900433,0.215454,-0.442184,-0.833084
7694.641420	ACC	7265.911253,0.222183,-0.442154,-0.824295
7694.641887	ACC	7265.920558,0.249252,-0.433136,-0.799576
7694.654599	ACC	7265.930599,0.284210,-0.416901,-0.786179
7694.655050	ACC	7265.941368,0.328827,-0.418762,-0.783661
7694.655510	ACC	7265.950598,0.322952,-0.426697,-0.783920
7694.656104	ACC	7265.961523,0.298691,-0.436874,-0.793167
7694.664061	ACC	7265.970790,0.268646,-0.428848,-0.793427
7694.672118	ACC	7265.981646,0.272598,-0.422836,-0.797104
7694.681411	ACC	7265.991020,0.276489,-0.420792,-0.796997
7694.700768	ACC	7266.001650,0.271759,-0.412018,-0.804611
7694.701657	ACC	7266.011053,0.243637,-0.406860,-0.804901
7694.714379	ACC	7266.021102,0.218506,-0.400497,-0.813812
7694.721750	ACC	7266.031240,0.231186,-0.399078,-0.822296
7694.732695	ACC	7266.042138,0.236984,-0.395218,-0.812485
7694.746195	ACC	7266.052308,0.243622,-0.403992,-0.801941
7694.751935	ACC	7266.061643,0.247513,-0.411606,-0.807846
7694.767862	ACC	7266.071925,0.249481,-0.420105,-0.821518
7694.772129	ACC	7266.081799,0.255219,-0.425964,-0.811890
7694.782234	ACC	7266.091867,0.254196,-0.429916,-0.810059
7694.798824	ACC	7266.102256,0.275604,-0.422562,-0.810562
7694.802428	ACC	7266.112137,0.296005,-0.412430,-0.802353
7694.817399	ACC	7266.122591,0.306580,-0.422943,-0.799530
7694.822577	ACC	7266.132285,0.294876,-0.432068,-0.796005
7694.833661	ACC	7266.142369,0.293808,-0.453369,-0.806122
7694.847502	ACC	7266.152595,0.302338,-0.483383,-0.805679
7694.853851	ACC	7266.163446,0.270081,-0.514465,-0.801971
7694.866759	ACC	7266.172797,0.266159,-0.510773,-0.795166
7694.878799	ACC	7266.183680,0.286591,-0.497711,-0.788818
7694.883025	ACC	7266.192722,0.334198,-0.473434,-0.770233
7694.896674	ACC	7266.202899,0.356750,-0.451233,-0.782013
7694.904255	ACC	7266.213735,0.353912,-0.435791,-0.776886
7694.913920	ACC	7266.223512,0.327621,-0.440460,-0.768677
7694.930268	ACC	7266.233681,0.266388,-0.448837,-0.766800
7694.933540	ACC	7266.243239,0.218826,-0.457657,-0.775391
7694.946709	ACC	7266.253503,0.208221,-0.459702,-0.787186
7694.955298	ACC	7266.263303,0.220779,-0.461426,-0.782211
7694.965723	ACC	7266.274682,0.245911,-0.461075,-0.764450
7694.978633	ACC	7266.284999,0.269257,-0.451767,-0.761993
7694.987108	ACC	7266.296623,0.280884,-0.453430,-0.760910
7694.997393	ACC	7266.306528,0.263382,-0.459656,-0.764175
7695.006121	ACC	7266.315688,0.261414,-0.467422,-0.769211
7695.016361	ACC	7266.325899,0.251831,-0.459702,-0.779800
7695.026140	ACC	7266.335615,0.246063,-0.455933,-0.780777
7695.050088	ACC	7266.345771,0.241989,-0.460236,-0.760635
7695.050585	ACC	7266.355581,0.200089,-0.461670,-0.736115
7695.067771	ACC	7266.366605,0.162064,-0.464905,-0.715485
7695.068796	ACC	7266.378062,0.128998,-0.469681,-0.710236
7695.079130	ACC	7266.388260,0.123016,-0.475891,-0.697891
7695.089127	ACC	7266.397437,0.147400,-0.475052,-0.712982
7695.099111	ACC	7266.408628,0.174728,-0.476929,-0.734863
7695.109517	ACC	7266.417956,0.202057,-0.469238,-0.747864
7695.118519	ACC	7266.428004,0.212769,-0.464127,-0.746628
7695.128840	ACC	7266.438376,0.196335,-0.459534,-0.754486
7695.138803	ACC	7266.448344,0.189713,-0.449707,-0.768875
7695.149012	ACC	7266.458561,0.188660,-0.463379,-0.769180
7695.160806	ACC	7266.469589,0.153793,-0.464066,-0.780304
7695.169890	ACC	7266.479194,0.153717,-0.471893,-0.778549
7695.179651	ACC	7266.489134,0.141907,-0.469681,-0.752563
7695.192360	ACC	7266.500209,0.127121,-0.475266,-0.729706
7695.200050	ACC	7266.509620,0.105835,-0.464127,-0.727844
7695.211805	ACC	7266.521333,0.089478,-0.444077,-0.726685
7695.220252	ACC	7266.529837,0.118744,-0.444016,-0.745590
7695.233359	ACC	7266.540308,0.141968,-0.456085,-0.748428
7695.240639	ACC	7266.550159,0.147568,-0.477570,-0.737183
7695.251830	ACC	7266.560031,0.162064,-0.491776,-0.742126
7695.253143	GYRO	7266.544572,-0.122712,-0.480718,-0.250120
7695.253983	GYRO	7266.553918,-0.031355,-0.250490,-0.186548
7695.260943	ACC	7266.570424,0.181564,-0.491104,-0.754395
7695.268004	GYRO	7266.563268,0.101006,-0.052976,-0.135819
7695.270335	ACC	7266.579880,0.188416,-0.492706,-0.763992
7695.269153	GYRO	7266.572614,0.215478,0.080177,-0.156018
7695.281126	ACC	7266.590533,0.191284,-0.484116,-0.748322
7695.286103	GYRO	7266.581817,0.276718,0.129580,-0.272142
7695.286921	GYRO	7266.591163,0.283602,0.087812,-0.447510
7695.292582	ACC	7266.600939,0.186401,-0.470825,-0.733597
7695.303561	ACC	7266.611332,0.181488,-0.472031,-0.726959
7695.306031	GYRO	7266.600743,0.253005,0.009269,-0.621498
7695.306843	GYRO	7266.610089,0.195557,-0.032487,-0.742620
7695.311751	ACC	7266.621262,0.179474,-0.478989,-0.722290
7695.323881	ACC	7266.633043,0.154205,-0.494064,-0.731659
7695.328123	GYRO	7266.619353,0.119819,-0.054749,-0.777687
7695.328954	GYRO	7266.628699,0.052961,-0.118902,-0.724556
7695.332137	ACC	7266.641668,0.149292,-0.498154,-0.727966
7695.342720	ACC	7266.651141,0.172592,-0.506271,-0.733582
7695.346458	GYRO	7266.638048,0.025695,-0.207992,-0.616647
7695.347265	GYRO	7266.647394,0.038356,-0.264820,-0.506693
7695.352226	ACC	7266.661754,0.196976,-0.493881,-0.739746
7695.362292	ACC	7266.671720,0.218292,-0.492477,-0.732651
7695.363701	GYRO	7266.656752,0.065849,-0.277642,-0.450701
7695.364501	GYRO	7266.666098,0.081109,-0.263592,-0.464548
7695.372488	ACC	7266.682012,0.219238,-0.492477,-0.730713
7695.380169	GYRO	7266.675299,0.064805,-0.209360,-0.495405
7695.382156	ACC	7266.691636,0.219284,-0.494278,-0.740402
7695.383013	GYRO	7266.684645,0.036879,-0.104758,-0.460885
7695.393586	ACC	7266.702243,0.231003,-0.500595,-0.753906
7695.398314	GYRO	7266.693997,0.028659,0.024678,-0.345122
7695.399132	GYRO	7266.703343,0.044629,0.127024,-0.197409
7695.403301	ACC	7266.712819,0.227097,-0.510345,-0.759949
7695.415756	ACC	7266.724614,0.213455,-0.508881,-0.750458
7695.420202	GYRO	7266.712851,0.068486,0.186213,-0.081821
7695.421048	GYRO	7266.722197,0.095251,0.218425,-0.028128
7695.423159	ACC	7266.732694,0.198883,-0.510223,-0.750687
7695.435502	ACC	7266.744003,0.192993,-0.509567,-0.739166
7695.439189	GYRO	7266.731530,0.110502,0.230945,-0.019054
7695.440004	GYRO	7266.740876,0.093245,0.196003,-0.034986
7695.443894	ACC	7266.753391,0.185226,-0.509750,-0.739273
7695.454101	ACC	7266.763626,0.184204,-0.519501,-0.742401
7695.456526	GYRO	7266.750231,0.045979,0.104263,-0.054163
7695.457326	GYRO	7266.759577,-0.001173,0.003038,-0.045834
7695.464012	ACC	7266.773509,0.191940,-0.523209,-0.742371
7695.473987	ACC	7266.783526,0.223099,-0.522278,-0.752533
7695.476479	GYRO	7266.768961,-0.026693,-0.042328,0.009338
7695.477287	GYRO	7266.778307,-0.020179,-0.010966,0.088364
7695.485532	ACC	7266.794975,0.254272,-0.518341,-0.766510
7695.494042	ACC	7266.803523,0.254272,-0.519318,-0.766525
