9497.514126	LOG_VERSION	2
9497.514126	TAGS	
9497.514126	COMMENT	林田
9497.514126	TERMINAL_ID	1b4fc2792a3efa572df14f3a74f6a0ea3d363255
9497.514126	TERMINAL_TYPE	iPod touch;iPhone OS;4.3.3
7681.106583	AUDIO	start
7681.616254	ACC	7300.197715,0.187271,-0.441238,-0.788544
7681.624381	ACC	7300.208299,0.239182,-0.510559,-0.830856
7681.625834	ACC	7300.218498,0.274231,-0.570450,-0.805908
7681.626377	ACC	7300.228693,0.097229,-0.629776,-0.751022
7681.626949	ACC	7300.238898,0.044128,-0.732391,-0.682556
7681.627429	ACC	7300.249144,0.093628,-0.744965,-0.525803
7681.627978	ACC	7300.259342,0.117462,-0.631500,-0.448959
7681.628457	ACC	7300.269552,0.197739,-0.583878,-0.439041
7681.628924	ACC	7300.279832,0.210754,-0.563202,-0.481979
7681.629443	ACC	7300.289967,0.210892,-0.578934,-0.543655
7681.629913	ACC	7300.300156,0.187805,-0.597366,-0.527527
7681.630588	ACC	7300.310416,0.101837,-0.619751,-0.519196
7681.631496	ACC	7300.320628,0.093903,-0.680679,-0.479965
7681.631968	ACC	7300.330549,0.183640,-0.744980,-0.603806
7681.632410	ACC	7300.341017,0.339508,-0.779099,-0.750916
7681.632891	ACC	7300.351241,0.464050,-0.830414,-0.729553
7681.638764	ACC	7300.361425,0.450790,-0.864853,-0.688873
7681.639247	ACC	7300.371661,0.447006,-0.815689,-0.862091
7681.639715	ACC	7300.381441,0.393295,-0.713165,-0.924011
7681.640272	ACC	7300.391932,0.256897,-0.695114,-0.794815
7681.640983	ACC	7300.402039,0.101471,-0.713257,-0.586411
7681.642852	ACC	7300.412348,0.067169,-0.752167,-0.477829
7681.643517	ACC	7300.422711,0.144104,-0.817017,-0.464279
7681.644087	ACC	7300.432567,0.336121,-0.844635,-0.490036
7681.644553	ACC	7300.442456,0.426208,-0.892075,-0.443329
7681.645021	ACC	7300.452872,0.313461,-0.924957,-0.248550
7681.645487	ACC	7300.463106,0.212799,-0.899612,-0.106842
7681.645954	ACC	7300.473142,0.179520,-0.928040,-0.032654
7681.646420	ACC	7300.483383,0.294464,-1.029678,-0.019363
7681.646885	ACC	7300.493465,0.286774,-1.034195,-0.111603
7681.647348	ACC	7300.503567,0.177231,-0.982285,-0.151535
7681.647814	ACC	7300.513262,0.159943,-1.030060,-0.202209
7681.648280	ACC	7300.523379,0.158646,-1.077881,-0.230927
7681.648981	ACC	7300.535567,0.095398,-1.000793,-0.194550
7681.649452	ACC	7300.544223,-0.009552,-0.927109,-0.119202
7681.658281	ACC	7300.553326,-0.058044,-0.964081,-0.022629
7681.658788	ACC	7300.564627,-0.047501,-0.974396,0.015884
7681.659269	ACC	7300.574125,-0.054245,-0.920380,0.019852
7681.659736	ACC	7300.584187,-0.031845,-0.944183,-0.006058
7681.660359	ACC	7300.594226,0.017075,-0.963074,-0.000870
7681.661091	ACC	7300.604320,-0.007950,-0.917770,0.032394
7681.661645	ACC	7300.614377,-0.154907,-0.856995,0.068329
7681.662610	ACC	7300.629198,-0.197815,-0.962418,0.197235
7681.663145	ACC	7300.644440,-0.422470,-0.817566,-0.281662
7681.663620	ACC	7300.654498,-0.584808,-1.161591,0.193085
7681.664086	ACC	7300.664546,-0.648087,-1.106567,0.252762
7681.664550	ACC	7300.675357,-0.720764,-1.075684,0.448380
7681.675532	ACC	7300.688143,-0.636963,-1.031601,0.555267
7681.682694	ACC	7300.695135,-0.454285,-1.052338,0.519608
7681.692056	ACC	7300.704857,-0.426392,-1.052536,0.444763
7681.710308	ACC	7300.715066,-0.329712,-0.909882,0.330170
7681.712768	ACC	7300.725628,-0.403763,-0.691437,0.327744
7681.722506	ACC	7300.735319,-0.647781,-0.430603,0.376389
7681.732659	ACC	7300.745367,-0.669571,-0.337234,0.309723
7681.743043	ACC	7300.755529,-0.675613,-0.446411,0.348999
7681.755281	ACC	7300.765145,-0.655090,-0.627396,0.350510
7681.762458	ACC	7300.775255,-0.513168,-0.797501,0.481491
7681.774393	ACC	7300.785525,-0.630676,-0.899185,0.482849
7681.789588	ACC	7300.796627,-0.631042,-0.815643,0.318283
7681.792590	ACC	7300.805485,-0.661957,-0.757965,0.195358
7681.809125	ACC	7300.816807,-0.623032,-0.736069,0.165619
7681.813101	ACC	7300.825900,-0.624573,-0.683105,0.237946
7681.823223	ACC	7300.836063,-0.718979,-0.602112,0.241348
7681.839708	ACC	7300.847164,-0.817169,-0.513657,0.033051
7681.842957	ACC	7300.855850,-0.793945,-0.384949,0.022141
7681.861136	ACC	7300.867757,-0.814514,-0.380890,-0.007721
7681.863650	ACC	7300.876483,-0.653168,-0.394501,-0.078110
7681.873714	ACC	7300.886543,-0.398254,-0.359512,-0.126541
7681.888844	ACC	7300.897305,-0.342575,-0.186005,-0.244980
7681.894011	ACC	7300.906882,-0.388443,-0.391983,-0.118179
7681.905936	ACC	7300.917120,-0.530853,-0.352524,-0.217178
7681.914992	ACC	7300.927690,-0.576141,-0.311920,-0.278305
